cc;amount;year;month;product
CA;512;2014;01;crude
DK;630;2014;01;crude
FI;0;2014;01;crude
FR;994;2014;01;crude
IE;849;2014;01;crude
IT;419;2014;01;crude
NL;7699;2014;01;crude
PL;0;2014;01;crude
ES;424;2014;01;crude
GB;11504;2014;01;crude
SE;1159;2014;01;crude
DE;4293;2014;01;crude
US;1368;2014;01;crude
CA;0;2014;02;crude
DK;957;2014;02;crude
FI;570;2014;02;crude
FR;1449;2014;02;crude
IE;429;2014;02;crude
IT;0;2014;02;crude
NL;5254;2014;02;crude
PL;0;2014;02;crude
ES;0;2014;02;crude
GB;10589;2014;02;crude
SE;1011;2014;02;crude
DE;3218;2014;02;crude
US;0;2014;02;crude
CA;0;2014;03;crude
DK;465;2014;03;crude
FI;0;2014;03;crude
FR;0;2014;03;crude
IE;854;2014;03;crude
IT;0;2014;03;crude
NL;7703;2014;03;crude
PL;0;2014;03;crude
ES;0;2014;03;crude
GB;10109;2014;03;crude
SE;2066;2014;03;crude
DE;2117;2014;03;crude
US;1708;2014;03;crude
CA;697;2014;04;crude
DK;981;2014;04;crude
FI;1596;2014;04;crude
FR;970;2014;04;crude
IE;819;2014;04;crude
IT;410;2014;04;crude
NL;5290;2014;04;crude
PL;0;2014;04;crude
ES;415;2014;04;crude
GB;11140;2014;04;crude
SE;1351;2014;04;crude
DE;2419;2014;04;crude
US;0;2014;04;crude
CA;0;2014;05;crude
DK;708;2014;05;crude
FI;1092;2014;05;crude
FR;424;2014;05;crude
IE;413;2014;05;crude
IT;0;2014;05;crude
NL;6113;2014;05;crude
PL;0;2014;05;crude
ES;0;2014;05;crude
GB;9494;2014;05;crude
SE;1124;2014;05;crude
DE;2547;2014;05;crude
US;0;2014;05;crude
CA;0;2014;06;crude
DK;975;2014;06;crude
FI;540;2014;06;crude
FR;1014;2014;06;crude
IE;442;2014;06;crude
IT;0;2014;06;crude
NL;6799;2014;06;crude
PL;0;2014;06;crude
ES;0;2014;06;crude
GB;7651;2014;06;crude
SE;865;2014;06;crude
DE;2613;2014;06;crude
US;0;2014;06;crude
CA;0;2014;07;crude
DK;1576;2014;07;crude
FI;0;2014;07;crude
FR;1305;2014;07;crude
IE;0;2014;07;crude
IT;0;2014;07;crude
NL;7697;2014;07;crude
PL;0;2014;07;crude
ES;0;2014;07;crude
GB;10713;2014;07;crude
SE;1461;2014;07;crude
DE;1789;2014;07;crude
US;531;2014;07;crude
CA;0;2014;08;crude
DK;381;2014;08;crude
FI;538;2014;08;crude
FR;359;2014;08;crude
IE;0;2014;08;crude
IT;0;2014;08;crude
NL;9066;2014;08;crude
PL;400;2014;08;crude
ES;395;2014;08;crude
GB;8267;2014;08;crude
SE;1991;2014;08;crude
DE;3118;2014;08;crude
US;0;2014;08;crude
CA;0;2014;09;crude
DK;363;2014;09;crude
FI;544;2014;09;crude
FR;0;2014;09;crude
IE;411;2014;09;crude
IT;390;2014;09;crude
NL;4831;2014;09;crude
PL;1186;2014;09;crude
ES;1397;2014;09;crude
GB;11255;2014;09;crude
SE;523;2014;09;crude
DE;3011;2014;09;crude
US;412;2014;09;crude
CA;0;2014;10;crude
DK;691;2014;10;crude
FI;489;2014;10;crude
FR;861;2014;10;crude
IE;387;2014;10;crude
IT;0;2014;10;crude
NL;6746;2014;10;crude
PL;708;2014;10;crude
ES;1026;2014;10;crude
GB;9861;2014;10;crude
SE;895;2014;10;crude
DE;3101;2014;10;crude
US;0;2014;10;crude
CA;0;2014;11;crude
DK;471;2014;11;crude
FI;1717;2014;11;crude
FR;0;2014;11;crude
IE;0;2014;11;crude
IT;338;2014;11;crude
NL;4841;2014;11;crude
PL;0;2014;11;crude
ES;0;2014;11;crude
GB;9234;2014;11;crude
SE;901;2014;11;crude
DE;937;2014;11;crude
US;0;2014;11;crude
CA;391;2014;12;crude
DK;229;2014;12;crude
FI;0;2014;12;crude
FR;298;2014;12;crude
IE;541;2014;12;crude
IT;239;2014;12;crude
NL;4399;2014;12;crude
PL;0;2014;12;crude
ES;0;2014;12;crude
GB;8754;2014;12;crude
SE;999;2014;12;crude
DE;2450;2014;12;crude
US;0;2014;12;crude
BE;0;2015;01;crude
CA;253;2015;01;crude
DK;597;2015;01;crude
FI;310;2015;01;crude
FR;305;2015;01;crude
IE;588;2015;01;crude
IT;0;2015;01;crude
MQ;241;2015;01;crude
NL;4075;2015;01;crude
PL;0;2015;01;crude
PT;0;2015;01;crude
ES;0;2015;01;crude
GB;5473;2015;01;crude
SE;888;2015;01;crude
DE;1515;2015;01;crude
US;237;2015;01;crude
BE;0;2015;02;crude
CA;281;2015;02;crude
DK;792;2015;02;crude
FI;655;2015;02;crude
FR;575;2015;02;crude
IE;572;2015;02;crude
IT;0;2015;02;crude
MQ;530;2015;02;crude
NL;4207;2015;02;crude
PL;0;2015;02;crude
PT;0;2015;02;crude
ES;247;2015;02;crude
GB;5743;2015;02;crude
SE;654;2015;02;crude
DE;1745;2015;02;crude
US;502;2015;02;crude
BE;0;2015;03;crude
CA;0;2015;03;crude
DK;897;2015;03;crude
FI;0;2015;03;crude
FR;401;2015;03;crude
IE;852;2015;03;crude
IT;0;2015;03;crude
MQ;0;2015;03;crude
NL;2973;2015;03;crude
PL;464;2015;03;crude
PT;0;2015;03;crude
ES;639;2015;03;crude
GB;8452;2015;03;crude
SE;669;2015;03;crude
DE;2366;2015;03;crude
US;486;2015;03;crude
BE;302;2015;04;crude
CA;496;2015;04;crude
DK;505;2015;04;crude
FI;0;2015;04;crude
FR;0;2015;04;crude
IE;593;2015;04;crude
IT;0;2015;04;crude
MQ;0;2015;04;crude
NL;3337;2015;04;crude
PL;0;2015;04;crude
PT;0;2015;04;crude
ES;309;2015;04;crude
GB;7243;2015;04;crude
SE;1843;2015;04;crude
DE;3158;2015;04;crude
US;806;2015;04;crude
BE;0;2015;05;crude
CA;0;2015;05;crude
DK;962;2015;05;crude
FI;0;2015;05;crude
FR;302;2015;05;crude
IE;871;2015;05;crude
IT;0;2015;05;crude
MQ;584;2015;05;crude
NL;5511;2015;05;crude
PL;0;2015;05;crude
PT;0;2015;05;crude
ES;296;2015;05;crude
GB;7540;2015;05;crude
SE;1134;2015;05;crude
DE;772;2015;05;crude
US;393;2015;05;crude
BE;0;2015;06;crude
CA;489;2015;06;crude
DK;615;2015;06;crude
FI;0;2015;06;crude
FR;0;2015;06;crude
IE;578;2015;06;crude
IT;0;2015;06;crude
MQ;0;2015;06;crude
NL;7296;2015;06;crude
PL;0;2015;06;crude
PT;299;2015;06;crude
